index,name_demand,Latitude,Longitude,demand
0,종로구 청운효자동,37.5840608,126.9705804,25.9338843
1,종로구 사직동,37.5761637,126.9688063,28.35929387
2,종로구 삼청동,37.5848379,126.9819133,24.73549799
3,종로구 부암동,37.5962608,126.9676991,26.41723356
4,종로구 평창동,37.6053351,126.9668582,24.74824869
5,종로구 무악동,37.5773553,126.9586242,21.49181322
6,종로구 교남동,37.5718391,126.9619706,27.52266456
7,종로구 가회동,37.5800055,126.9846912,25.12042389
8,종로구 이화동,37.5769232,127.0043003,42.09432246
9,종로구 혜화동,37.586755,127.0003554,46.25434622
10,중구 소공동,37.5623685,126.9770254,32.28162431
11,중구 회현동,37.5572302,126.9793303,21.72784575
12,중구 명동,37.55998,126.9858296,32.1524423
13,중구 필동,37.5600911,126.9955787,40.84233261
14,중구 장충동,37.5617581,127.0077164,44.70854556
15,중구 광희동,37.5644798,127.0052446,41.46380019
16,중구 을지로동,37.5667292,126.9913019,35.45548654
17,중구 신당동,37.5615738,127.0194523,39.75427819
18,중구 다산동,37.554376,127.0084746,33.25583034
19,중구 약수동,37.554347,127.011001,25.88591441
20,중구 청구동,37.5640907,126.9979403,29.65356961
21,중구 동화동,37.559973,127.018296,25.84464337
22,중구 황학동,37.5674517,127.0214099,40.0341221
23,중구 중림동,37.5547582,126.9644988,28.90987544
24,용산구 후암동,37.5498915,126.9814212,30.72590012
25,용산구 용산2가동,37.5458707,126.9854421,36.04230448
26,용산구 남영동,37.5455655,126.9744151,28.33183971
27,용산구 청파동,37.5435097,126.9696097,39.08171904
28,용산구 효창동,37.5417318,126.9613055,33.4708714
29,용산구 용문동,37.5383431,126.9584999,31.31076098
30,용산구 한강로동,37.5290615,126.9694881,37.74800309
31,용산구 한남동,37.5311789,127.0062454,31.52995674
32,용산구 서빙고동,37.520402,126.9945799,24.24526263
33,용산구 보광동,37.5265039,127.0011919,32.32717317
34,성동구 마장동,37.5662583,127.0453796,33.98911861
35,성동구 사근동,37.5610919,127.0459627,57.10721362
36,성동구 응봉동,37.5505499,127.0341139,24.94787594
37,성동구 금호1가동,37.5547592,127.0211043,27.19136615
38,성동구 금호4가동,37.5472602,127.0223264,27.64408073
39,성동구 옥수동,37.5435935,127.0134664,28.66694685
40,성동구 송정동,37.5527653,127.0608277,31.73945089
41,성동구 용답동,37.5640647,127.0554067,36.25140292
42,광진구 화양동,37.5435547,127.073456,66.27018482
43,광진구 군자동,37.5530066,127.0736292,44.71674242
44,광진구 능동,37.5535934,127.0791827,43.268402
45,광진구 광장동,37.5478086,127.1052825,21.72297589
46,동대문구 용신동,37.5762288,127.0302138,38.95951036
47,동대문구 제기동,37.5833567,127.0367969,35.08534476
48,동대문구 청량리동,37.588908,127.0445965,22.94442132
49,동대문구 회기동,37.5907275,127.055128,55.06035283
50,중랑구 면목본동,37.5873125,127.0874309,31.43074804
51,중랑구 망우본동,37.6012551,127.1065397,29.557941
52,중랑구 망우본동,37.6012551,127.1065397,29.557941
53,중랑구 신내1동,37.6057824,127.0994562,24.48211412
54,중랑구 신내2동,37.6062543,127.0941517,25.26709665
55,성북구 성북동,37.5909485,127.003439,31.71591376
56,성북구 삼선동,37.5939763,127.0105212,33.62216152
57,성북구 동선동,37.5935604,127.0157427,46.93675277
58,성북구 안암동,37.5858384,127.0213534,52.12683681
59,성북구 보문동,37.5803121,127.0227704,34.12048499
60,성북구 종암동,37.6001709,127.031602,29.30117594
61,성북구 석관동,37.6084827,127.0609186,29.11134096
62,강북구 삼양동,37.620695,127.0127143,24.89941129
63,강북구 미아동,37.6268335,127.0269077,30.66033428
64,강북구 송중동,37.615974,127.0336574,27.6577906
65,강북구 송천동,37.6180845,127.0237133,24.9688644
66,강북구 삼각산동,37.6166126,127.0174369,21.82197273
67,강북구 번1동,37.6378322,127.0287962,32.09515193
68,강북구 번2동,37.6321391,127.0386284,24.31160572
69,강북구 번3동,37.625834,127.0465718,20.33908423
70,강북구 수유1동,37.6387326,127.0089103,28.03278689
71,강북구 수유2동,37.6446372,127.0198799,25.42325189
72,강북구 수유3동,37.63886,127.0231577,33.33049838
73,강북구 우이동,37.6479697,127.0118806,24.74001361
74,강북구 인수동,37.6351934,127.0191862,24.93667971
75,노원구 월계1동,37.619835,127.0629324,30.42928723
76,노원구 월계2동,37.6324443,127.0507382,23.04588816
77,노원구 월계3동,37.620919,127.0692367,26.48997758
78,노원구 공릉1동,37.6248346,127.0737922,32.775222
79,노원구 공릉2동,37.6211412,127.0832634,30.83111185
80,노원구 하계1동,37.6405557,127.0725689,27.92535913
81,노원구 하계2동,37.6320006,127.0679316,24.4657973
82,노원구 중계본동,37.6514398,127.0831273,20.24712042
83,노원구 중계1동,37.6525543,127.077485,18.15359294
