index,dong,name_subway,Latitude,Longitude,MF,EF,TF,SF,y
0,강남구,S_강남구청역,37.5148554,127.033969,-1.566353611,1.80513,-0.013923,0.6960308699930322,-0.189150713
1,강남구,S_강남역,37.5026761,127.0260437,0.76312021,1.14383,0.228734,0.41387397867368575,0.597218653
2,강남구,S_논현역,37.5148554,127.033969,-1.566353611,1.80513,0.273391,0.6960308699930322,-0.130091264
3,강남구,S_대치역,37.490713,127.0586709,-1.566353611,1.80513,-0.442763,-0.031089268665826418,-0.269680825
4,강남구,S_도곡역,37.490713,127.0586709,-1.566353611,1.80513,0.429373,-0.031089268665826418,-0.09040703
5,강남구,S_매봉역,37.490713,127.0586709,-1.566353611,1.80513,0.429373,-0.031089268665826418,-0.09040703
6,강남구,S_봉은사,37.5085884,127.0405045,-1.566353611,1.80513,-0.0333175,0.44487421010108696,-0.147733814
7,강남구,S_삼성역,37.5045703,127.0494465,-1.566353611,1.80513,-0.0535306,0.32525067769288774,-0.230578196
8,강남구,S_삼성중앙,37.5085884,127.0405045,-1.566353611,1.80513,-0.0333175,0.44487421010108696,-0.147733814
9,강남구,S_선릉역,37.5045703,127.0494465,-1.566353611,1.80513,-0.0535306,0.32525067769288774,-0.230578196
10,강남구,S_선정릉,37.5070339,127.047777,-1.566353611,1.80513,-0.0459889,0.3793964480251593,-0.191238435
11,강남구,S_수서역,37.485319,127.0939179,-1.566353611,1.80513,0.884645,-0.8564639907061962,0.112332844
12,강남구,S_신사역,37.5211419,127.0346289,-1.566353611,1.80513,0.362275,0.9159460478852842,-0.19988174
13,강남구,S_압구정역,37.5270213,127.0357939,-1.566353611,1.80513,0.370377,0.9716269256900646,-0.211976375
14,강남구,S_언주,37.5085884,127.0405045,-1.566353611,1.80513,0.253997,0.44487421010108696,-0.088674262
15,강남구,S_역삼역,37.5045703,127.0494465,-1.566353611,1.80513,0.205811,0.32525067769288774,-0.177268675
16,강남구,S_일원역,37.4890175,127.0824833,-1.566353611,1.80513,-1.5895,-0.42771439848364584,-0.48631285
17,강남구,S_청담역,37.5148554,127.033969,-1.566353611,1.80513,0.400971,0.6960308699930322,-0.103866282
18,강남구,S_학동역,37.5148554,127.033969,-1.566353611,1.80513,0.273391,0.6960308699930322,-0.130091264
19,강남구,S_학여울역,37.490713,127.0586709,-1.566353611,1.80513,-0.442763,-0.031089268665826418,-0.269680825
20,강동구,S_강동구청역,37.5486728,127.1275525,-0.47613994,-1.0734,-0.0540695,-1.2029252608006715,-0.355468498
21,강동구,S_강동역,37.538274,127.14567,-0.47613994,-1.0734,-0.237417,-1.6744532580500406,-0.218656402
22,강동구,S_고덕역,37.5555874,127.1475975,-0.47613994,-1.0734,-0.543091,-1.6730597622280088,-0.468916198
23,강동구,S_굽은다리역,37.5374092,127.1411034,-0.47613994,-1.0734,1.14376,-1.537700177262907,0.03673416
24,강동구,S_길동역,37.5374092,127.1411034,-0.47613994,-1.0734,1.21308,-1.537700177262907,0.050983382
25,강동구,S_둔촌동역,37.5374092,127.1411034,-0.47613994,-1.0734,0.326919,-1.537700177262907,-0.131173352
26,강동구,S_둔촌오륜,37.5231922,127.1313538,-0.47613994,-1.0734,0.358687,-1.2218578565167704,-0.248292122
