index,지역,지점 이름 ,주소 ,Latitude,Longitude
1,관악구,관악구신림점 ,"서울 관악구 신원로 35 (삼모 더 프라임 타워) 지하1층, B마트 관악신림점",37.5379845,126.9685056
2,서대문구,서대문신촌점,서울 서대문구 연희맛로 28 (연희프라자) 3층 B마트 서대문신촌,37.5672561,126.9304464
3,강남구,강남양재점,"서울 강남구 언주로 123 지하1층, B마트 강남양재",37.4869126,127.0489647
4,송파구,송파문정점 ,"서울 송파구 송파대로 111 205동 지하 1층, B마트 송파문정점",37.513265,127.101133
5,강남구,강남대치점,"서울 강남구 삼성로 155 (대치퍼스트빌딩) 지하 1층, B마트 강남대치점",37.4938946,127.0629079
6,금천구,금천독산점,"서울 금천구 시흥대로 435 4층, B마트 금천독산",37.4722139,126.8976898
7,서초구,서포반포점 ,"서울 서초구 고무래로10길 17 정산빌딩 지하1층, B마트 서초반포",37.5011401,127.0104399
8,서초구,서초교대점 ,"서울 서초구 서초대로40길 83 (우제빌딩) 1층, B마트 서초교대점",37.4879718,127.0088971
9,강남구,강남논현점 ,서울 강남구 언주로 609 (팍스타워) 지하1층 B마트 강남논현,37.5098642,127.0367302
10,은평구,은평점,서울 은평구 서오릉로 15 (녹번동 155-20) 2층,37.6024182,126.925771
11,도봉구,중랑면목점,서울 중랑구 겸재로 240 (행복오피스텔) B마트 중랑면목점,37.589608,127.0941645
12,송파구,송파신천점,서울 송파구 석촌호수로 88 (대원빌딩) 지하 1층 B마트 송파신천점,37.5084883,127.0869328
13,송파구,송파문정점,"서울 송파구 송파대로 111 205동 지하 1층, B마트 송파문정점",37.513265,127.101133
15,강남구,강남삼성점 ,"서울 강남구 삼성로 534 (싹아트센터) 지하1층, B마트 강남삼성",37.5096357,127.0555218
17,관악구,관악서울대점 ,서울 관악구 남부순환로 1836 (호산빌딩) 지하1층,37.4804852,126.9537388
18,관악구,관악서울대점 ,서울 관악구 남부순환로 1836 (호산빌딩) 지하1층,37.4804852,126.9537388
19,서초구,서초반포점 ,"서울 서초구 고무래로10길 17 정산빌딩 지하1층, B마트 서초반포",37.5011401,127.0104399
20,종로구,중동명구점 ,"서울 종로구 삼일대로 386 (시네코아)2층, B마트 중구명동",37.568878,126.988095
21,강동구,강동천호점 ,서울 강동구 양재대로 1568 B마트 강동천호,37.5453366,127.1433679
22,서초구,서초반포점 ,"서울 서초구 고무래로10길 17 정산빌딩 지하1층, B마트 서초반포",37.5011401,127.0104399
23,강남구,강남역삼점 ,"서울 강남구 봉은사로 138 롯데 스위트캐슬 1층, B마트 강남역삼",37.505783,127.0298686
24,강남구,강남논현점 ,서울 강남구 언주로 609 (팍스타워) 지하1층 B마트 강남논현,37.5098642,127.0367302
25,강동구,강동천호점 ,서울 강동구 양재대로 1568 B마트 강동천호,37.5453366,127.1433679
26,서초구,서초교대점,"서울 서초구 서초대로40길 83 (우제빌딩) 1층, B마트 서초교대점",37.4879718,127.0088971
