index,주차장주소,구/동,총 주차면,Latitude,Longitude
1,구로구 개봉동 134-8,구로구 개봉동,134,37.5001669,126.8510677
2,구로구 개봉동 416-2,구로구 개봉동,56,37.5015232,126.8483122
3,구로구 개봉동 416-285,구로구 개봉동,1,37.495806,126.8572118
4,구로구 오류동 174-10,구로구 오류동,328,37.4872323,126.839151
5,구로구 오류동 6-11,구로구 오류동,84,37.4953845,126.8392951
6,금천구 독산동 1001-2,금천구 독산동,1,37.4675031,126.8898741
7,금천구 독산동 1004-6,금천구 독산동,1,37.4650745,126.8916666
8,금천구 독산동 152-1,금천구 독산동,1,37.4724067,126.8976835
9,금천구 독산동 181-4,금천구 독산동,1,37.4708251,126.9062782
10,금천구 독산동 298-1,금천구 독산동,1,37.4729929,126.8942618
11,금천구 독산동 300-21,금천구 독산동,1,37.4685225,126.8943311
12,금천구 독산동 300-26,금천구 독산동,1,37.4691388,126.8948047
13,금천구 독산동 303-2,금천구 독산동,1,37.4712891,126.8911995
14,금천구 시흥동 171-1,금천구 시흥동,51,37.4545449,126.909003
15,금천구 시흥동 704-56,금천구 시흥동,124,37.4596867,126.9090436
16,금천구 시흥동 886-14,금천구 시흥동,122,37.4532014,126.9029577
17,도봉구 방학동 632-1,도봉구 방학동,80,37.6644829,127.0339637
18,도봉구 창동 330-0,도봉구 창동,107,37.6522104,127.0458531
19,동대문구 신설동 114-29,동대문구 신설동,79,37.5724742,127.0242281
20,동대문구 이문동 86-52,동대문구 이문동,1,37.5954484,127.0651474
21,동대문구 휘경동 286-66,동대문구 휘경동,199,37.5871413,127.0620254
22,동대문구 휘경동 361-0,동대문구 휘경동,40,37.5889669,127.0690907
23,영등포구 영등포동1가 111-1,영등포구 영등포동,1,37.5176578,126.9107884
24,영등포구 영등포동3가 618-496,영등포구 영등포동,1,37.5177549,126.907807
25,영등포구 영등포동4가 123-0,영등포구 영등포동,570,37.5194307,126.9025736
26,영등포구 영등포동4가 442-0,영등포구 영등포동,172,37.517007,126.9041419
27,용산구 원효로3가 51-5,용산구 원효로동,114,37.5338443,126.9602928
28,용산구 이촌동 301-5,용산구 이촌동,1,37.5203376,126.9724387
29,용산구 이촌동 302-31,용산구 이촌동,1,37.5200751,126.9686741
30,용산구 청파동3가 118-102,용산구 청파동,105,37.542708,126.9685344
31,종로구 관철동 13-14,종로구,1,37.5690424,126.9876688
32,종로구 관철동 13-14,종로구,1,37.5690424,126.9876688
33,종로구 관철동 45-9,종로구,1,37.5695683,126.9831223
34,종로구 서린동 63-0,종로구,44,37.5696822,126.9814896
35,종로구 인사동 194-27,종로구,1,37.5719482,126.9848277
36,종로구 인사동 283-0,종로구,1,37.57289,126.9865299
37,종로구 인의동 107-1,종로구,1,37.5727871,126.9967458
38,종로구 종로5가 458-2,종로구,1,37.5698102,127.0057036
39,종로구 종로5가 458-2,종로구,1,37.5698102,127.0057036
40,종로구 종로5가 490-0,종로구,1,37.569903,127.0051726
41,중구 다동 18-0,종로구,1,37.5672953,126.9853572
42,중구 다동 46-0,종로구,1,37.5679725,126.9799824
43,중구 방산동 4-47,종로구,1,37.5691576,127.0017288
44,중구 방산동 4-47,종로구,1,37.5691576,127.0017288
45,중구 방산동 52-1,종로구,1,37.5694862,127.0044707
46,종로구 숭인동 204-14,종로구 숭인동,1,37.5720845,127.0206978
47,종로구 숭인동 234-81,종로구 숭인동,1,37.571533,127.0191711
48,종로구 숭인동 58-2,종로구 숭인동,1,37.577235,127.0186537
49,종로구 숭인동 62-9,종로구 숭인동,1,37.5747516,127.0161482
50,종로구 숭인동 76-1,종로구 숭인동,1,37.5739601,127.0166476
51,종로구 창신동 37-16,종로구 창신동,1,37.5759037,127.0150337
52,종로구 창신동 436-87,종로구 창신동,1,37.5699659,127.0163345
53,종로구 창신동 615-62,종로구 창신동,1,37.5801545,127.008752
54,종로구 창신동 67-2,종로구 창신동,1,37.5753611,127.0151122
55,중구 남대문로5가 541-0,중구 봉래동,1,37.5554652,126.9737482
56,중구 봉래동1가 83-0,중구 봉래동,1,37.5587783,126.9724
57,중구 태평로1가 82-0,중구 서소문동,1,37.5675961,126.978447
58,중구 소공동 87-3,중구 정동,1,37.5641603,126.9792658
59,중구 정동 181-0,중구 정동,1,37.5665684,126.9728716
60,강남구 대치동 78-29,강남구 대치동,1,37.5052317,127.0681567
61,강남구 대치동 924-10,강남구 대치동,200,37.4993211,127.054928
62,강남구 대치동 1011-19,강남구 삼성동,1,37.5033393,127.0510376
63,강남구 대치동 1012-15,강남구 삼성동,1,37.5069104,127.0582752
64,강남구 삼성동 172-41,강남구 삼성동,1,37.5114416,127.0653987
65,강남구 역삼동 829-20,강남구 역삼동,118,37.495188,127.0332163
66,관악구 봉천동 682-0,관악구 보라매동,159,37.4919353,126.9330422
67,관악구 봉천동 1627-10,관악구 봉천동,1,37.4778012,126.9588719
68,관악구 봉천동 220-8,관악구 봉천동,1,37.4749074,126.9598244
69,관악구 신림동 1456-3,관악구 신림동,191,37.4873002,126.9233928
70,관악구 신림동 1467,관악구 신림동,1,37.4864328,126.9291799
71,관악구 신림동 1472-1,관악구 신림동,1,37.4847117,126.9253985
72,관악구 신림동 1642-7,관악구 신림동,1,37.4826243,126.9275134
73,관악구 신림동 1675-8,관악구 신림동,1,37.4835163,126.9029804
74,관악구 신림동 1677-5,관악구 신림동,31,37.484761,126.9032065
75,관악구 신림동 467-0,관악구 신림동,135,37.4850413,126.9221169
76,관악구 신림동 498-0,관악구 신림동,60,37.4874104,126.9132925
77,광진구 구의동 219-15,광진구 구의동,159,37.5391537,127.0913104
78,구로구 구로동 120-5,구로구 구로동,93,37.4927982,126.8943069
79,구로구 구로동 69-5,구로구 구로동,1,37.4989002,126.8928779
80,구로구 구로동 73-9,구로구 구로동,1,37.4949194,126.893847
81,구로구 구로동 810-3,구로구 구로동,93,37.4851265,126.9015288
82,금천구 독산동 964-0,금천구 독산동,22,37.4778365,126.9027254
83,금천구 독산동 971-0,금천구 독산동,46,37.4763121,126.9018749
84,성동구 상왕십리동 12-47,동대문구 신설동,1,37.5706802,127.025542
85,동대문구 용두동 129-4,동대문구 용두동,122,37.5719622,127.0344027
86,동작구 사당동 1001-37,동작구 사당동,1,37.4834967,126.977542
87,동작구 사당동 1046-1,동작구 사당동,45,37.4772357,126.9768529
88,동작구 사당동 169-16 ,동작구 사당동,1,37.4846714,126.9735572
89,동작구 사당동 278-34,동작구 사당동,5,37.4826378,126.9703603
90,관악구 신림동 511-1,동작구 신대방동,41,37.4843973,126.9154494
91,동작구 신대방동 395-0,동작구 신대방동,52,37.4932342,126.9197115
