index,호선,역사명,구,도로명주소,Latitude,Longitude,월임대료 평균,면적 평균,면적 당 임대료,엘리베이터유무,pc1,pc2,pc3
0,1,서울(1)역,중구,서울특별시 중구 세종대로 지하2(남대문로 5가),37.5624945,126.9752957,527100,33,15972.72727,0,7.57404,3.98087,0.601224
1,1,시청(1)역,중구,서울특별시 중구 세종대로 지하101(정동),37.5624945,126.9752957,2791556.333,28.88833333,96632.65447,0,7.57404,3.98087,0.601224
2,1,종각역,종로구,서울특별시 종로구 종로 지하55(종로1가),37.5719416,127.0043274,5428585.714,24.59692308,220701.821,0,5.43797,2.23685,-1.13737
3,1,종로3가(1)역,종로구,서울특별시 종로구 종로 지하129(종로3가),37.5719416,127.0043274,5458419.75,32.7375,166732.9439,0,5.43797,2.23685,-1.13737
4,1,종로5가역,종로구,서울특별시 종로구 종로 지하216(종로5가),37.5719416,127.0043274,4710000,20.645,228142.4074,0,5.43797,2.23685,-1.13737
5,1,동대문역,종로구,서울특별시 종로구 종로 지하302(창신동),37.5719416,127.0043274,0,0,0,0,5.43797,2.23685,-1.13737
6,1,신설동역,동대문구,서울특별시 동대문구 왕산로 지하1(신설동),37.5803953,127.0379534,0,0,0,0,0.217542,-1.88592,0.0418715
7,1,제기동역,동대문구,서울특별시 동대문구 왕산로 지하93(제기동),37.5803953,127.0379534,0,0,0,0,0.217542,-1.88592,0.0418715
8,1,청량리(서울시립대입구)역,동대문구,서울특별시 동대문구 왕산로 지하205(전농동),37.5803953,127.0379534,0,0,0,0,0.217542,-1.88592,0.0418715
9,1,동묘앞(1)역,종로구,서울특별시 종로구 종로 359(숭인동),37.5732808,127.0166486,3550000,17.7,200564.9718,0,5.43797,2.23685,-1.13737
10,2,시청역,중구,서울특별시 중구 서소문로 지하127(서소문동),37.5612786,126.9693213,0,0,0,0,7.57404,3.98087,0.601224
11,2,을지로입구역,중구,서울특별시 중구 을지로 지하42(을지로1가),37.5665899,126.9982939,9178534.615,40.396875,227209.0258,0,7.57404,3.98087,0.601224
12,2,을지로3가(2)역,중구,서울특별시 중구 을지로 지하106(을지로3가),37.5665899,126.9982939,868912.5,17.6575,49209.25952,0,7.57404,3.98087,0.601224
13,2,을지로4가(2)역,중구,서울특별시 중구 을지로 지하178(을지로4가),37.5665899,126.9982939,1011664.714,23.07714286,43838.38676,0,7.57404,3.98087,0.601224
14,2,동대문역사문화공원(2)역,중구,서울특별시 중구 을지로 지하279(을지로7가),37.5665899,126.9982939,6004704,32.74714286,183365.7375,0,7.57404,3.98087,0.601224
15,2,신당(2)역,중구,서울특별시 중구 퇴계로 지하431-1(신당동),37.5609724,126.9945971,975000,12.91,75522.8505,0,7.57404,3.98087,0.601224
16,2,상왕십리역,성동구,서울특별시 성동구 왕십리로 지하374(하왕십리동),37.5549336,127.0367427,3781410.333,32.53333333,116231.875,0,1.55961,-1.23871,0.53138
17,2,왕십리(2)역,성동구,서울특별시 성동구 왕십리로 지하300(행당동),37.5549336,127.0367427,1396166.667,25.39111111,54986.43446,0,1.55961,-1.23871,0.53138
18,2,한양대역,성동구,서울특별시 성동구 왕십리로 206(행당동),37.5552593,127.0436579,2972000,37.768,78690.95531,0,1.55961,-1.23871,0.53138
19,2,뚝섬역,성동구,서울특별시 성동구 아차산로 18(성수동1가),37.5471773,127.0473802,1651850,21.118,78220.00189,0,1.55961,-1.23871,0.53138
20,2,성수역,성동구,서울특별시 성동구 아차산로 100(성수동2가),37.5446009,127.0568847,3145244.4,24.75666667,127046.3606,0,1.55961,-1.23871,0.53138
21,2,건대입구(2)역,광진구,서울특별시 광진구 아차산로 243(화양동),37.5407487,127.0690014,6378977.25,33.56,190076.7953,0,0.295592,-1.62693,-1.79417
22,2,구의역,광진구,서울특별시 광진구 아차산로 384-1(구의동),37.5382826,127.0907553,2662633.75,26.642,99941.21125,0,0.295592,-1.62693,-1.79417
23,2,강변역,광진구,서울특별시 광진구 강변역로 53(구의동),37.5354211,127.094533,11569998.5,38.75,298580.6065,0,0.295592,-1.62693,-1.79417
24,2,잠실나루역,송파구,서울특별시 송파구 오금로 20(신천동),37.5186216,127.1049002,5079212.5,49.1825,103272.7596,0,-5.82448,1.94447,-1.11111
25,2,잠실(2)역,송파구,서울특별시 송파구 올림픽로 지하265(신천동),37.5213517,127.1026097,7065145.563,26.93611111,262292.7094,0,-5.82448,1.94447,-1.11111
26,2,잠실새내역,송파구,서울특별시 송파구 올림픽로 지하140(잠실동),37.5213517,127.1026097,5593333.333,21.17666667,264127.184,0,-5.82448,1.94447,-1.11111
27,2,종합운동장역,송파구,서울특별시 송파구 올림픽로 지하23(잠실동),37.5213517,127.1026097,5220122.5,48.4,107853.7707,0,-5.82448,1.94447,-1.11111
28,2,삼성역,강남구,서울특별시 강남구 테헤란로 지하538(삼성동),37.5045703,127.0494465,0,0,0,0,-3.29149,5.53299,-1.46002
29,2,선릉역,강남구,서울특별시 강남구 테헤란로 지하340(삼성동),37.5045703,127.0494465,9466689.333,21.07857143,449114.3702,0,-3.29149,5.53299,-1.46002
30,2,역삼역,강남구,서울특별시 강남구 테헤란로 지하156(역삼동),37.5045703,127.0494465,10936655.71,68.672,159259.3154,0,-3.29149,5.53299,-1.46002
31,2,강남역,강남구,서울특별시 강남구 강남대로 지하396(역삼동),37.5026761,127.0260437,17193025.5,30.53666667,563028.8887,0,-3.29149,5.53299,-1.46002
32,2,교대(2)역,서초구,서울특별시 서초구 서초대로 지하294(서초동),37.4900549,127.0007641,4425918.25,23.90375,185155.8124,0,-0.746933,3.02472,0.773993
33,2,서초역,서초구,서울특별시 서초구 서초대로 지하233(서초동),37.4900549,127.0007641,4375966.667,22.32285714,196030.7607,0,-0.746933,3.02472,0.773993
34,2,방배역,서초구,서울특별시 서초구 방배로 지하80(방배동),37.4866882,126.9948792,1884266.833,20.33833333,92646.07883,0,-0.746933,3.02472,0.773993
35,2,사당(2)역,동작구,서울특별시 동작구 남부순환로 지하2089(사당동),37.4795497,126.9433403,11514721.55,34.76230769,331241.575,0,-0.0745646,-1.48728,1.57093
36,2,낙성대역,관악구,서울특별시 관악구 남부순환로 지하1928(봉천동),37.4795497,126.9433403,1998449.667,42.835,46654.59711,0,-1.98818,-0.648311,0.708141
37,2,서울대입구역,관악구,서울특별시 관악구 남부순환로 지하1822(봉천동),37.4795497,126.9433403,6558518.667,23.3,281481.4879,0,-1.98818,-0.648311,0.708141
38,2,봉천역,관악구,서울특별시 관악구 남부순환로 지하1721(봉천동),37.4795497,126.9433403,1814122,22.71,79882.07838,0,-1.98818,-0.648311,0.708141
39,2,신림역,관악구,서울특별시 관악구 남부순환로 지하1614(신림동),37.4795497,126.9433403,6521064.6,13.2,494020.0455,0,-1.98818,-0.648311,0.708141
40,2,신대방역,동작구,서울특별시 동작구 대림로 2(신대방동),37.4875104,126.9129914,10909867.5,132.6,82276.52715,0,-0.0745646,-1.48728,1.57093
41,2,구로디지털단지역,구로구,서울특별시 구로구 도림천로 477(구로동),37.4851265,126.9015288,10628779,60.865,174628.7522,0,-0.190459,-0.776803,0.00457076
42,2,대림(2)역,구로구,서울특별시 구로구 도림천로 351(구로동),37.4925043,126.8949615,8187971.429,18.05777778,453431.8413,0,-0.190459,-0.776803,0.00457076
43,2,신도림역,구로구,서울특별시 구로구 새말로 지하 117-21(신도림동),37.5047436,126.8874857,8158114.636,33.52666667,243332.1128,0,-0.190459,-0.776803,0.00457076
44,2,문래역,영등포구,서울특별시 영등포구 당산로 지하28(문래동3가),37.5267009,126.8986365,2867049.75,26.28,109096.2614,0,0.90948,1.15866,3.80037
45,2,영등포구청(2)역,영등포구,서울특별시 영등포구 당산로 지하121(당산동3가),37.5267009,126.8986365,13889165,23.65142857,587244.2317,0,0.90948,1.15866,3.80037
46,2,당산역,영등포구,서울특별시 영등포구 당산로 229(당산동6가),37.5349309,126.9027301,4288200,30.13666667,142291.7819,0,0.90948,1.15866,3.80037
47,2,합정(2)역,마포구,서울특별시 마포구 양화로 지하55(서교동),37.552785,126.9186125,5879940.222,26.90785714,218521.3111,0,0.201913,0.109845,-1.32146
48,2,홍대입구역,마포구,서울특별시 마포구 양화로 지하160(동교동),37.552785,126.9186125,11078998.67,26.465,418628.3268,0,0.201913,0.109845,-1.32146
49,2,신촌역,마포구,서울특별시 마포구 신촌로 지하90(노고산동),37.5575088,126.944032,10610604.43,23.64888889,448672.4294,0,0.201913,0.109845,-1.32146
50,2,이대역,마포구,서울특별시 마포구 신촌로 지하180(염리동),37.5575088,126.944032,0,21.63333333,0,0,0.201913,0.109845,-1.32146
51,2,아현역,마포구,서울특별시 마포구 신촌로 지하270(아현동),37.5575088,126.944032,1406508,28.326,49654.31053,0,0.201913,0.109845,-1.32146
