역사명,Latitude,Longitude,면적 평균,면적 당 임대료,pc1,pc2,pc3
서울(1)역,37.5624945,126.9752957,33,15972.72727,7.57404,3.98087,0.601224
시청(1)역,37.5624945,126.9752957,28.88833333,96632.65447,7.57404,3.98087,0.601224
종각역,37.5719416,127.0043274,24.59692308,220701.821,5.43797,2.23685,-1.13737
종로3가(1)역,37.5719416,127.0043274,32.7375,166732.9439,5.43797,2.23685,-1.13737
종로5가역,37.5719416,127.0043274,20.645,228142.4074,5.43797,2.23685,-1.13737
동대문역,37.5719416,127.0043274,0,0,5.43797,2.23685,-1.13737
신설동역,37.5803953,127.0379534,0,0,0.217542,-1.88592,0.0418715
제기동역,37.5803953,127.0379534,0,0,0.217542,-1.88592,0.0418715
청량리(서울시립대입구)역,37.5803953,127.0379534,0,0,0.217542,-1.88592,0.0418715
동묘앞(1)역,37.5732808,127.0166486,17.7,200564.9718,5.43797,2.23685,-1.13737
시청역,37.5612786,126.9693213,0,0,7.57404,3.98087,0.601224
을지로입구역,37.5665899,126.9982939,40.396875,227209.0258,7.57404,3.98087,0.601224
을지로3가(2)역,37.5665899,126.9982939,17.6575,49209.25952,7.57404,3.98087,0.601224
을지로4가(2)역,37.5665899,126.9982939,23.07714286,43838.38676,7.57404,3.98087,0.601224
동대문역사문화공원(2)역,37.5665899,126.9982939,32.74714286,183365.7375,7.57404,3.98087,0.601224
신당(2)역,37.5609724,126.9945971,12.91,75522.8505,7.57404,3.98087,0.601224
상왕십리역,37.5549336,127.0367427,32.53333333,116231.875,1.55961,-1.23871,0.53138
왕십리(2)역,37.5549336,127.0367427,25.39111111,54986.43446,1.55961,-1.23871,0.53138
한양대역,37.5552593,127.0436579,37.768,78690.95531,1.55961,-1.23871,0.53138
뚝섬역,37.5471773,127.0473802,21.118,78220.00189,1.55961,-1.23871,0.53138
성수역,37.5446009,127.0568847,24.75666667,127046.3606,1.55961,-1.23871,0.53138
건대입구(2)역,37.5407487,127.0690014,33.56,190076.7953,0.295592,-1.62693,-1.79417
구의역,37.5382826,127.0907553,26.642,99941.21125,0.295592,-1.62693,-1.79417
강변역,37.5354211,127.094533,38.75,298580.6065,0.295592,-1.62693,-1.79417
잠실나루역,37.5186216,127.1049002,49.1825,103272.7596,-5.82448,1.94447,-1.11111
잠실(2)역,37.5213517,127.1026097,26.93611111,262292.7094,-5.82448,1.94447,-1.11111
잠실새내역,37.5213517,127.1026097,21.17666667,264127.184,-5.82448,1.94447,-1.11111
종합운동장역,37.5213517,127.1026097,48.4,107853.7707,-5.82448,1.94447,-1.11111
삼성역,37.5045703,127.0494465,0,0,-3.29149,5.53299,-1.46002
선릉역,37.5045703,127.0494465,21.07857143,449114.3702,-3.29149,5.53299,-1.46002
역삼역,37.5045703,127.0494465,68.672,159259.3154,-3.29149,5.53299,-1.46002
강남역,37.5026761,127.0260437,30.53666667,563028.8887,-3.29149,5.53299,-1.46002
교대(2)역,37.4900549,127.0007641,23.90375,185155.8124,-0.746933,3.02472,0.773993
서초역,37.4900549,127.0007641,22.32285714,196030.7607,-0.746933,3.02472,0.773993
방배역,37.4866882,126.9948792,20.33833333,92646.07883,-0.746933,3.02472,0.773993
사당(2)역,37.4795497,126.9433403,34.76230769,331241.575,-0.0745646,-1.48728,1.57093
낙성대역,37.4795497,126.9433403,42.835,46654.59711,-1.98818,-0.648311,0.708141
서울대입구역,37.4795497,126.9433403,23.3,281481.4879,-1.98818,-0.648311,0.708141
봉천역,37.4795497,126.9433403,22.71,79882.07838,-1.98818,-0.648311,0.708141
신림역,37.4795497,126.9433403,13.2,494020.0455,-1.98818,-0.648311,0.708141
신대방역,37.4875104,126.9129914,132.6,82276.52715,-0.0745646,-1.48728,1.57093
구로디지털단지역,37.4851265,126.9015288,60.865,174628.7522,-0.190459,-0.776803,0.00457076
대림(2)역,37.4925043,126.8949615,18.05777778,453431.8413,-0.190459,-0.776803,0.00457076
신도림역,37.5047436,126.8874857,33.52666667,243332.1128,-0.190459,-0.776803,0.00457076
문래역,37.5267009,126.8986365,26.28,109096.2614,0.90948,1.15866,3.80037
영등포구청(2)역,37.5267009,126.8986365,23.65142857,587244.2317,0.90948,1.15866,3.80037
당산역,37.5349309,126.9027301,30.13666667,142291.7819,0.90948,1.15866,3.80037
합정(2)역,37.552785,126.9186125,26.90785714,218521.3111,0.201913,0.109845,-1.32146
홍대입구역,37.552785,126.9186125,26.465,418628.3268,0.201913,0.109845,-1.32146
신촌역,37.5575088,126.944032,23.64888889,448672.4294,0.201913,0.109845,-1.32146
이대역,37.5575088,126.944032,21.63333333,0,0.201913,0.109845,-1.32146
아현역,37.5575088,126.944032,28.326,49654.31053,0.201913,0.109845,-1.32146
충정로(2)역,37.5612786,126.9693213,20.37333333,225930.0148,0.831232,-1.33294,-0.185672
용답역,37.5586888,127.0531724,0,0,1.55961,-1.23871,0.53138
신답역,37.569744,127.0469446,0,0,1.55961,-1.23871,0.53138
신설동역,37.5803953,127.0379534,0,0,0.217542,-1.88592,0.0418715
도림천역,37.5144011,126.8826846,0,0,-0.190459,-0.776803,0.00457076
양천구청역,37.5109528,126.8630883,22.44,39505.34759,-2.10509,-1.40919,-0.464912
신정네거리역,37.520694,126.8523726,42.45,0,-2.10509,-1.40919,-0.464912
용두역,37.5690448,127.044881,0,0,0.217542,-1.88592,0.0418715
구파발역,37.6354486,126.9231387,0,0,-1.76666,-0.432013,0.405047
연신내(3)역,37.6123992,126.9292744,26.024,65501.07593,-1.76666,-0.432013,0.405047
불광(3)역,37.6123992,126.9292744,23.77,56152.67985,-1.76666,-0.432013,0.405047
녹번역,37.6123992,126.9292744,35.714,22456.73965,-1.76666,-0.432013,0.405047
홍제역,37.581817,126.9508662,205.8514286,11757.99467,0.831232,-1.33294,-0.185672
무악재역,37.581817,126.9508662,0,0,0.831232,-1.33294,-0.185672
독립문역,37.581817,126.9508662,0,0,0.831232,-1.33294,-0.185672
경복궁역,37.5748378,126.9680507,25.5,59156.47059,5.43797,2.23685,-1.13737
안국역,37.574971,126.9981589,24.76222222,44389.75142,5.43797,2.23685,-1.13737
종로3가(3)역,37.572069,126.9915237,49.2,152121.6734,5.43797,2.23685,-1.13737
을지로3가(3)역,37.5665899,126.9982939,18.86666667,139183.7455,7.57404,3.98087,0.601224
충무로역,37.5609724,126.9945971,0,0,7.57404,3.98087,0.601224
동대입구역,37.5610737,127.0058135,27.79125,24296.16786,7.57404,3.98087,0.601224
약수(3)역,37.5584387,127.0119475,16.945,207341.8117,7.57404,3.98087,0.601224
금호역,37.5466746,127.0162448,28.642,46090.09147,1.55961,-1.23871,0.53138
옥수역,37.5398948,127.0172208,156.785,38088.36304,1.55961,-1.23871,0.53138
압구정역,37.5270213,127.0357939,23.536,185888.1628,-3.29149,5.53299,-1.46002
신사역,37.5211419,127.0346289,24.57733333,179888.3437,-3.29149,5.53299,-1.46002
잠원역,37.5125456,127.0110072,0,0,-0.746933,3.02472,0.773993
고속터미널(3)역,37.5060582,127.0033885,1287.698333,51957.30239,-0.746933,3.02472,0.773993
교대(3)역,37.4900549,127.0007641,72.82454545,20639.71383,-0.746933,3.02472,0.773993
남부터미널역,37.4933118,127.0145415,0,0,-0.746933,3.02472,0.773993
양재역,37.4810366,127.0181186,33.4975,148074.4874,-0.746933,3.02472,0.773993
매봉역,37.490713,127.0586709,16.795,112000.5954,-3.29149,5.53299,-1.46002
도곡역,37.490713,127.0586709,24.58,59004.27177,-3.29149,5.53299,-1.46002
대치역,37.490713,127.0586709,0,0,-3.29149,5.53299,-1.46002
학여울역,37.490713,127.0586709,0,0,-3.29149,5.53299,-1.46002
대청역,37.4890175,127.0824833,24.805,76387.82504,-3.29149,5.53299,-1.46002
일원역,37.4890175,127.0824833,203.636,21599.20152,-3.29149,5.53299,-1.46002
수서역,37.485319,127.0939179,24.99111111,197136.9998,-3.29149,5.53299,-1.46002
가락시장(3)역,37.4856859,127.1193237,21,57142.85714,-5.82448,1.94447,-1.11111
경찰병원역,37.4993959,127.1254327,47.2,74364.40678,-5.82448,1.94447,-1.11111
오금역,37.5062405,127.1232563,0,0,-5.82448,1.94447,-1.11111
당고개역,37.6705563,127.0793058,78.13833333,37203.25065,-3.54654,0.0328271,0.928053
상계역,37.6610953,127.0735256,39.612,80153.48884,-3.54654,0.0328271,0.928053
노원(4)역,37.6558674,127.0619911,22.405,52443.65097,-3.54654,0.0328271,0.928053
창동역,37.6531856,127.0481139,30.83333333,166659.4595,1.17058,-1.69655,-1.0179
쌍문역,37.6703415,127.0407797,0,0,1.17058,-1.69655,-1.0179
수유역,37.6315748,127.0278216,16.90285714,300709.187,1.20045,-1.63942,-0.228059
미아역,37.6315748,127.0278216,0,0,1.20045,-1.63942,-0.228059
미아사거리역,37.6315748,127.0278216,21.91842105,155290.2245,1.20045,-1.63942,-0.228059
길음역,37.5973535,127.0188961,60.02,62046.65945,-1.31044,-0.672619,0.261881
성신여대입구역,37.5973535,127.0188961,22.76,103999.1213,-1.31044,-0.672619,0.261881
한성대입구역,37.5884105,127.0103449,69.34,0,-1.31044,-0.672619,0.261881
