번호,상호명,주소,Latitude,Longitude
1,써니물류,서울특별시 구로구 경인로 110 (오류동),37.491255,126.8312569
2,(주)한진 부천택배센터,서울특별시 구로구 경인로 110 (오류동),37.491255,126.8312569
3,사조산업(주)독산냉장,서울특별시 금천구 두산로7길 13 (독산동),37.4712891,126.8911995
4,세계냉동,서울특별시 금천구 범안로 1204 (독산동),37.4662695,126.8954382
5,세계냉동,서울특별시 금천구 범안로 1204 (독산동),37.4662695,126.8954382
6,유창냉장,서울특별시 금천구 범안로 1209 (독산동),37.4667856,126.8962852
7,사조산업(주)독산냉장,"서울특별시 금천구 두산로7길 13(독산동,[두산4길 7])",37.4712891,126.8911995
8,사조산업(주)독산냉장보세창고,서울특별시 금천구 두산로7길 13 (독산동),37.4712891,126.8911995
9,이화창고,서울특별시 도봉구 도봉로180길 9 (도봉동),37.6837042,127.046774
10,(주)케이미트,서울특별시 동작구 노들로2길 44 (노량진동),37.5146427,126.9345674
11,롯데글로벌로지스(주) 성북집배센터,"서울특별시 노원구 석계로 98-2, 광운대역 (월계동)",37.6232015,127.0616631
12,(주)농심,서울특별시 금천구 가산디지털1로 91 (가산동),37.4736845,126.883871
13,주식회사 3피엘,서울특별시 금천구 가산디지털2로 156 (가산동),37.4818691,126.8788716
14,(주)한진 서울남부지점,서울특별시 금천구 가산디지털2로 83 (가산동),37.4751739,126.8804459
15,진보냉동,서울특별시 금천구 가산로9길 9 (가산동),37.4769535,126.8913363
16,롯데글로벌로지스(주)  서울구로지점,서울특별시 금천구 디지털로 154 (가산동),37.4763636,126.8840042
17,씨제이대한통운(주) 택배서울지사,서울특별시 금천구 가산디지털2로 156 (가산동),37.4818691,126.8788716
18,주식회사 더이지스,"서울특별시 금천구 가산디지털2로 156, 대한통운가산동택배터미널 7층(가산동)",37.4818691,126.8788716
19,세화유통,"서울특별시 성동구 고산자로26길 18, 지하1,지상2층 (마장동, 세화유통)",37.5703199,127.0397399
20,순창축산,"서울특별시 성동구 마장로31길 48, 지층 (마장동)",37.5704221,127.0385703
21,신영냉동,"서울특별시 성동구 청계천로10가길 72-30, 지하층 (마장동)",37.5711878,127.0366587
22,신영빌딩,"서울특별시 성동구 고산자로24길 6, 지층 (마장동)",37.5698672,127.0381394
23,대합빌딩,"서울특별시 성동구 마장로31길 44(마장동,지하1층, 2층)",37.5700198,127.0385076
24,보형빌딩,"서울특별시 성동구 마장로31나길 17(마장동빌딩 지하1,2층 마장동)",37.5701914,127.0394506
25,삼흥,"서울특별시 성동구 고산자로24길 14-2, 지하1층 (마장동)",37.5697427,127.0390024
26,상록빌딩,"서울특별시 성동구 마장로31길 43, 지층 (마장동)",37.5701109,127.0381861
27,상지빌딩,"서울특별시 성동구 마장로35길 66, 지하1층 (마장동)",37.5690884,127.0426802
28,성환냉동,"서울특별시 성동구 마장로33길 49, 지하층 (마장동)",37.5699746,127.0396051
29,영조빌딩,"서울특별시 성동구 고산자로 344, 지하1층 (마장동, 봉지빌딩)",37.5700927,127.037944
30,유시티,"서울특별시 성동구 고산자로 345(지하1층 마장동, 고운타워)",37.5702068,127.0373607
31,(주)풍미축산유통,"서울특별시 성동구 고산자로 330, 지하1층 (마장동)",37.5688976,127.0376877
32,(주)엠에스커뮤니케이션스,"서울특별시 성동구 마장로35길 68, 지하1,2층 (마장동, 마축일축산물시장)",37.5706431,127.0412606
33,(주)성창미트,"서울특별시 성동구 고산자로22길 11, 지하층 (마장동)",37.5691645,127.0385989
34,협우정창고,서울특별시 성동구 고산자로26길 5 (마장동),37.5707723,127.0384153
35,한영빌딩,서울특별시 성동구 마장로33길 51 (마장동),37.5701228,127.0397685
36,한빛빌딩,"서울특별시 성동구 마장동 439-9 지하1,2층",37.5702119,127.0411902
37,태진빌딩,"서울특별시 성동구 마장로31길 40, 지하1층 (마장동)",37.5697882,127.0384008
38,진아상가,"서울특별시 성동구 고산자로24길 11, 지층호 (마장동)",37.5700667,127.0387447
39,금강빌딩,"서울특별시 성동구 고산자로22길 8 (마장동, 금강빌딩)",37.5690356,127.0381303
40,H.D타워,"서울특별시 성동구 마장로35길 112, 지하1층 (마장동)",37.5685624,127.04523
41,씨제이대한통운(주) 중부물류창고,서울특별시 성동구 성수동2가 324번지 2호 ,37.540343,127.0558113
42,(주)교원스타트원,"서울특별시 성동구 아차산로13길 30, 성수물류센터 1동(성수동2가)",37.5454971,127.0619341
43,삼덕보세창고,서울특별시 성동구 아차산로 67,37.5461868,127.05183
44,삼원산업사,서울특별시 성동구 아차산로13길 38 (성수동2가),37.5462023,127.0620068
45,삼덕창고(주),서울특별시 성동구 아차산로 67 (성수동2가),37.5461868,127.05183
46,(주)동양물류센터,서울특별시 성동구 뚝섬로17가길 49 (성수동2가),37.5407323,127.0589748
47,삼원산업 보세창고,서울특별시 성동구 아차산로13길 38,37.5462023,127.0620068
48,(주)동양물류센타 보세창고,서울특별시 성동구 뚝섬로17가길 49,37.5407323,127.0589748
49,(주)선수물류 보세창고,서울특별시 성동구 둘레19길 13,37.5356497,127.0575383
50,롯데쇼핑(주)프레시센터 서초점,서울특별시 서초구 서초대로70길 15 (서초동),37.4956841,127.0239604
51,강남창고,서울특별시 강남구 광평로31길 52 (수서동),37.485591,127.0888998
52,서한냉동(주),서울특별시 송파구 양재대로 932 (가락동),37.4952783,127.1157128
53,서한냉동(주),서울특별시 송파구 양재대로 932(가락동),37.4952783,127.1157128
54,백광의약품(주),서울특별시 영등포구 버드나루로6길 10 (영등포동2가),37.51837,126.9157203
55,서영물류(주),서울특별시 영등포구 영등포로 154 (당산동1가),37.5218932,126.8997625
56,종로구,서울특별시 영등포구 국회대로22길 20 (양평동3가),37.5289537,126.8901326
57,(주)한진 강서택배센터,서울특별시 강서구 오정로 602 (외발산동),37.5486526,126.8161588
